act,slpstate,time
0,0,22:02:00
0,1,22:02:30
0,0,22:03:00
0,0,22:03:30
0,0,22:04:00
21,0,22:04:30
0,0,22:05:00
1,0,22:05:30
0,0,22:06:00
0,0,22:06:30
0,0,22:07:00
0,0,22:07:30
3,0,22:08:00
0,1,22:08:30
0,0,22:09:00
0,0,22:09:30
3,0,22:10:00
42,0,22:10:30
7,0,22:11:00
0,0,22:11:30
0,0,22:12:00
0,0,22:12:30
0,1,22:13:00
2,1,22:13:30
0,0,22:14:00
1,1,22:14:30
81,1,22:15:00
34,1,22:15:30
1,1,22:16:00
0,1,22:16:30
0,1,22:17:00
118,1,22:17:30
250,1,22:18:00
266,1,22:18:30
266,1,22:19:00
266,1,22:19:30
325,1,22:20:00
168,1,22:20:30
242,1,22:21:00
219,1,22:21:30
314,1,22:22:00
191,1,22:22:30
335,1,22:23:00
285,1,22:23:30
162,1,22:24:00
219,1,22:24:30
325,1,22:25:00
242,1,22:25:30
162,1,22:26:00
219,0,22:26:30
141,1,22:27:00
0,1,22:27:30
1,1,22:28:00
0,1,22:28:30
0,1,22:29:00
0,1,22:29:30
141,1,22:30:00
335,1,22:30:30
219,1,22:31:00
266,1,22:31:30
250,1,22:32:00
113,1,22:32:30
478,1,22:33:00
250,1,22:33:30
191,1,22:34:00
407,1,22:34:30
394,1,22:35:00
448,1,22:35:30
347,1,22:36:00
493,1,22:36:30
156,1,22:37:00
106,1,22:37:30
99,1,22:38:00
212,1,22:38:30
109,1,22:39:00
47,1,22:39:30
156,1,22:40:00
258,1,22:40:30
40,1,22:41:00
47,1,22:41:30
78,1,22:42:00
168,1,22:42:30
173,1,22:43:00
276,1,22:43:30
150,1,22:44:00
109,1,22:44:30
95,1,22:45:00
47,1,22:45:30
92,1,22:46:00
102,1,22:46:30
70,1,22:47:00
81,1,22:47:30
162,1,22:48:00
72,1,22:48:30
13,1,22:49:00
198,1,22:49:30
51,1,22:50:00
22,1,22:50:30
78,1,22:51:00
88,1,22:51:30
168,1,22:52:00
31,1,22:52:30
12,1,22:53:00
95,1,22:53:30
156,1,22:54:00
51,1,22:54:30
22,1,22:55:00
58,1,22:55:30
118,1,22:56:00
16,1,22:56:30
63,1,22:57:00
106,1,22:57:30
102,1,22:58:00
198,1,22:58:30
