sumact,max,stdev,fivecount,log,state
3008,325,89.77188021,1,6.220355825,wake
3290,325,88.22886905,1,5.875197323,wake
3311,335,94.71923423,2,6.420534999,wake
3286,335,86.06138452,1,6.783825182,wake
3426,335,94.89588279,2,6.010635294,wake
3380,335,95.57325787,2,6.153291595,wake
3407,335,90.0610375,2,4.688879454,wake
3379,335,90.82395321,2,3.995732274,wake
3190,335,95.83887769,2,5.356708827,wake
3048,335,99.58277246,2,5.356708827,wake
2783,335,91.96935307,2,6.749392986,wake
2852,335,96.73242427,2,6.521460918,wake
2608,325,91.46289906,1,6.814130532,wake
2763,335,102.7893824,2,5.94875989,wake
2641,335,101.8346232,2,5.304065093,wake
2303,335,94.30553183,1,5.553876892,wake
2214,335,93.66086239,1,5.912654886,wake
2268,335,92.35745774,1,4.988984047,wake
2231,335,93.70373779,1,5.204692619,wake
2340,335,90.28818939,1,4.258096538,wake
2262,335,91.37184624,1,6.087596335,wake
2509,335,92.54221688,1,4.737669618,wake
2437,335,84.20420191,1,4.258096538,wake
2300,335,81.9948895,1,5.521788577,wake
2101,226,62.28922555,0,4.610917913,wake
2359,370,84.00257933,1,3.079441542,wake
2495,370,96.51249611,1,5.624972813,wake
2615,370,100.9978312,1,5.976733742,wake
2806,370,99.04114104,1,3.772588722,wake
2798,370,100.4584017,1,5.477336814,wake
2862,370,100.3464712,1,5.912654886,wake
2841,370,97.04696948,1,6.323009979,wake
2723,370,97.09703051,1,6.420534999,wake
2756,370,99.49919837,1,6.187385806,wake
2868,370,98.59288586,1,5.394449155,wake
2527,304,85.09191109,0,6.913503006,wake
2605,370,92.53835756,1,6.717027701,wake
2784,370,92.46651904,1,6.552959585,wake
2742,370,99.75197814,1,6.288267031,wake
2679,370,104.7690658,1,5.770684624,wake
2602,370,105.0051926,1,6.187385806,wake
2619,370,108.4242329,1,5.304065093,wake
2492,370,111.5304144,1,5.17438727,wake
2324,370,111.5178611,1,4.33220451,wake
2147,370,109.1416074,1,4.688879454,wake
2099,370,107.9497458,1,4.688879454,sleep
2079,370,108.3005078,1,4.891820298,sleep
1735,304,88.48755629,0,5.94875989,sleep
1605,258,72.74309,0,1,sleep
1364,198,60.70294572,0,1.693147181,wake
1217,179,52.42373145,0,1,wake
1099,179,51.98781909,0,1,wake
920,141,44.28500767,0,1,wake
880,141,43.77888162,0,1,wake
778,141,44.16726864,0,5.110873864,wake
680,141,39.74603904,0,5.875197323,wake
723,141,44.64702838,0,5.248495242,wake
649,141,41.39674475,0,5.770684624,sleep
685,141,46.05483274,0,4.496507561,sleep
600,131,38.88003527,0,3.944438979,wake
603,131,38.15120294,0,4.891820298,wake
650,131,37.88334224,0,1,sleep
650,131,37.88334224,0,1,wake
616,131,38.46860192,0,4.526360525,wake
632,131,38.2503657,0,4.17805383,sleep
656,131,37.66019751,0,1,wake
573,131,38.0908688,0,4.091042453,wake
450,118,30.11406885,0,3.63905733,sleep
394,118,28.00340115,0,1,sleep
235,49,15.4260139,0,4.737669618,sleep
225,49,15.42771162,0,4.496507561,sleep
239,49,16.09184946,0,1,sleep
190,42,13.74582188,0,1,sleep
190,42,13.74582188,0,1,sleep
204,42,13.9289011,0,2.791759469,sleep
189,42,12.66885946,0,1,sleep
201,42,13.61459301,0,1,sleep
201,42,13.61459301,0,1,sleep
179,42,13.45592452,0,1,sleep
167,42,13.47396078,0,1,sleep
164,42,13.38513746,0,3.63905733,wake
136,36,10.98917216,0,1,sleep
103,36,9.224449913,0,1,wake
154,51,13.56220238,0,1,sleep
134,51,13.32845149,0,3.995732274,sleep
141,51,13.58728397,0,3.564949357,sleep
112,51,11.9972219,0,4.583518938,sleep
204,56,17.21378185,0,1,sleep
217,56,17.08020297,0,1,sleep
214,56,17.15697831,0,2.098612289,wake
207,56,17.22871357,0,3.302585093,sleep
216,56,17.10889493,0,1,sleep
202,56,17.22926635,0,1,sleep
151,56,14.47970665,0,4.931825633,wake
202,56,17.22926635,0,1,sleep
202,56,17.22926635,0,1,sleep
182,56,17.17944508,0,1,sleep
113,51,13.35468528,0,5.025351691,sleep
120,56,16.06282309,0,3.564949357,sleep
133,56,16.08208113,0,1,sleep
133,56,16.08208113,0,1,sleep
130,56,16.12643497,0,1,sleep
120,56,16.15593655,0,1,sleep
120,56,16.15593655,0,1,sleep
120,56,16.15593655,0,1,sleep
69,56,12.40621964,0,1,sleep
69,56,12.40621964,0,1,sleep
69,56,12.40621964,0,1,sleep
69,56,12.40621964,0,1,sleep
13,13,2.836832573,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
0,0,0,0,3.197224577,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
9,9,1.963961012,0,1,sleep
1033,1024,223.3655343,1,1,sleep
1380,1024,232.2046819,2,1,sleep
1403,1024,231.9333135,2,1,wake
1403,1024,231.9333135,2,1,wake
1403,1024,231.9333135,2,1,wake
1403,1024,231.9333135,2,1,wake
1394,1024,232.0537602,2,1,wake
1394,1024,232.0537602,2,1,wake
1394,1024,232.0537602,2,1,wake
1394,1024,232.0537602,2,1,wake
370,347,75.63694612,1,7.931471806,wake
1047,1024,223.2604501,1,6.84932478,sleep
1371,1024,232.3228665,2,4.135494216,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
1394,1024,232.0537602,2,1,sleep
370,347,75.63694612,1,1,sleep
23,23,5.019011475,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
1,1,0.21821789,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
1,1,0.21821789,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
2,1,0.300792604,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
